part_number,made_by,car_brand,model,name,count,price
95930-3E600,Hyundai KIA,,Sorento,Датчик подушки безопасности,1,472.5
59930-3K001,Hyundai,,"Sonata NF, 2008г.",Датчик АБС задний правый,1,270
95680-2F100,KIA,,Cerato,"Датчик АБС задний правый (KIA Spectra, 03)",1,0
36100-27011,Hyundai,,Tucson,"Стартер (Santa Fe, с 2006г.2,2td,  KIA Carens 2,0L)",1,1350
37300-22650,Hyundai KIA,,Tucson,"Генератор (Valeo A000 2655023) 13,5v, 90A",1,1350
135467,Cargo ,,"Accent,Elantra,Sonata","Щётки стартера, комплект",1,74.25
95100-1H000EQ,KIA,,"Ceed, 2007",Прикуриватель,1,126.9
27420-23700,Hyundai,,Tucson,Провод свечи зажигания (№1),1,79.65
27430-23700,Hyundai,,Tucson,Провод свечи зажигания (№2),1,79.65
27440-23700,Hyundai,,Tucson,Провод свечи зажигания (№3),1,83.7
27450-23700,Hyundai,,Tucson,Провод свечи зажигания (№4),1,79.65
18647-27009,Hyundai,,Tucson,Лампа галогеновая противотуманная,2,67.5
97154-2E250,Hyundai,,Tucson,Двигатель привода заслонки отопителя,1,334.8
0148990038,Meyle,,Vito,Датчик уровень моторного масла ,1,405
1008300003,Meyle,,T-4,Реле топливного насоса,1,64.8
0 580 454 001,Bosch,,GAZ,Насос топливный электрический ,2,436.05
0 258 005 133,Bosch,,VAZ,Лямбда-зонд (универсальный),2,282.15
0 258 006 537,Bosch,,VAZ,Лямбда-зонд (широкополосный),1,310.5
0 258 986 507,Bosch,,Hyundai,"Датчик кислородный - универсальный, верхний",1,405
0 258 986 602,Bosch,,Hyundai,"Датчик кислородный - универсальный, нижний",1,754.65
